,Unnamed: 0,Unnamed: 0.1,Tweet,Emotion
24,292,292,"Am un vecin care locuiește singur . 94 de ani . Cardiopathic . Vara iese în pantaloni trei sferturi și teniși . L- am dacă el se teme de virusul coroana , mi- a răspuns cu un zâmbet viclean și jenat că se uită la tv puțin și încă nu înțelege ce este .   El e leacul pentru CV",Bucurie
25,2206,552,Nici măcar nu știu sa fac poze la ecran cu asta 🙈 🙈 🙈 🙈 îl omor pe Alex și ai trimit bonul sa deconteze ... cine are nervi de atâtea noutăți ? 🙄 🙄,Furie
26,1300,424,"Când cineva nu respectă distanța în magazin , tușește sec în timp ce- ți pui îngrijorat palma pe frunte .",Frica
27,3609,343,"  Da , din nefericire , marea parte a intelectualității franceze în ultimele zeci de ani a fost atrasă de comunism , marxism , maoism , troțkism ...",Tristete
28,1614,738,E din ce in ce mai dificil să discerni între știrile alarmiste și cele reale . Nici nu -i de mirare că nu mai cred .Nu există nici o autoritate de încredere și media raportează cazuri la hectar ca în Scânteia . E periculos ce se �,Frica
29,72,72,Așa e cel mai plăcut,Bucurie
30,2820,359,"Borussia revine de azi în grupele Ligii Campionilor , iar Lazio se întoarce la Dortmund după o pauză de 25 de ani .   Cele două echipe s- au mai întâlnit într- un singur sezon în Europa , în Cupa UEFA .   În 1995 , Lazio și BVB au fost adversare în sferturile Cup …",Neutru
31,632,632,Sheldon ar fi în extaz văzând așa ceva 🤣,Bucurie
32,1953,299,"video Lucescu jr . , „ turbat “ de nervi , a sărit la gâtul arbitrului în Arabia Saudită şi l- a înjurat , inclusiv în română :",Furie
33,3580,314,sunt SECATA JUR ! ! !   Imi era dor de el ATAT de mult dar nu credeam ca o sa PLANG CAND IL AUD CANTAND IAR ! ! ! !,Tristete
34,3776,510,"  Eu le am de ceva timp , minunate , ANC -ul e perfect , te și sperie . Dar trebuie să muncești mult la setări , cand le scoți din cutie se aud praf . Ia pe negru , eu regret ca m- am grăbit .",Tristete
35,3564,298,"În condițiile aspre ale actualelor reglementări , slujba de și cea a , vor fi săvârșite , din nefericire , fără credincioși . - De Interes - Gânduri Ortodoxe",Tristete
36,1700,46,"a anulat o ședință de Consiliu , înfuriat de prezența din Agigea îl acuză pe comunei că se comportă",Furie
37,2133,479,De ce a trebuit înlocuită o chestie care mergea și arăta bine cu o chestie care nu prea merge și arată oribil ?   de myVodafone zic ...,Furie
38,2165,511,"Așa arată o pandemie ? Știați că pentru a fi declarată într- un stat , trebuie să depășeasca 20% din populația regiunii , țării ? Epidemia necesită 10% de infectați . În ambele cazuri situația trebuie să fie 3 săpt.consecutive !",Furie
39,1413,537,"Umanismul în pandemie    a scris , în Ciuma ( 1947 ) de asemenea , despre circumstanțele existențiale ale unor vremuri particulare de angoasă și traumă , asemănătoare cu perioada actuală de pandemie COVID-19 . Înn mod natural …",Frica
40,249,249,Ce drăguți sunteți ! ! Ce față simpatică are vecinul tau ? Cine e ?,Bucurie
41,323,323,Vacanta plăcută și linistita alături de cei dragi / ❣ ️ ❣ ️ ❣ ️ ❣ ️,Bucurie
42,3252,791,"  Pai oricum e mai ieftin asa , poate voi inhata un pdf daca pot sa -l gasesc",Neutru
43,2427,773,"Noul sef DNA e multumit de banii recuperati de la si frustrat de numarul mare de achitari . Condamnarea lui , data exemplu la   bilant",Furie
44,172,172,Bună dimineața iubita o zi senină și plină de lucruri frumoase îți doresc CanYaman ÖzgeGürel MrWrong,Bucurie
45,2394,740,Pitești : Și- a agresat și și a ajuns după gratii,Furie
46,2442,788,"Starea Libertății | Dragoș Pătraru , indignat de greșelile gramaticale ale parlamentarilor : “ Vă grupați analfabeții cu ”",Furie
47,2487,26,Muncea la negru într- un restaurant din   Motru,Neutru
48,3176,715,Reply -ul lui l- ai vazut sau cand ai postat asta nu l- ai inteles defapt,Neutru
49,1020,144,am mers in vizita la și era in duș când am intrat așa ca am stat și am așteptat ca omu pe canapea dar femeia s- a speriat de mine când m- a văzut și mi- a pălit una peste cap,Frica
50,2429,775,Vai de capul lui săracul ! ? A dat în damblaua pisicească rău de tot ! ? 👍 🤔 🤨 😲 😂 😂 😂,Furie
51,622,622,💘 Dragostea este bucuria de a face altora bucurie . 💘,Bucurie
52,2158,504,frate deci zici că e tâmpit la cap   păi dă -o dreq mai termin -o odată,Furie
53,2967,506,Cartofi umpluţi cu carne tocată – probabil nu ați mâncat așa ceva până acum,Neutru
54,3218,757,"Compara Închirieri mașini Kyoto buget de închiriere auto – Kyoto Ieftin de închiriat auto Una dintre cele mai importante destinații culturale ale lumii , este",Neutru
55,3393,127,Sufar de CANCER pe creier ! Comanda o Biblie si AJUTA -MA sa imi platesc   tratamentul !,Tristete
56,484,484,m- am delectat o jumatate de ora pe ceas cu hiturile domnisoarei rihanna . cam multa tenta sexuala dar ma pot obloji si cu aceste versuri tineresti . pe vremea mea mai intai cereai voie de la tatal domnisoarei . apoi sperai ca ii poti mangaia mandibula pe inserat . ce vremuri,Bucurie
57,962,86,Atacuri cibernetice în număr alarmant,Frica
58,1655,1,Sinceritate 0 ! Daca avea creierul la el nu spunea porcariile alea de la bun inceput ! O javra ! 😡,Furie
59,1833,179,"își cam bate pla de PNL . O zi întreagă s- au pătimit ăștia să ne facă să înțelegem că proiectul Alinuței Gorghiu e OK , dar nu -l înțelegem noi .   Vine astăzi Orban și zice că e o aberaţie .",Furie
60,1006,130,"   Pai , eu stiu chestiile aste de vreo 25 de ani si nu -s speriat . Atentie , pentru a induce o schimbare , nu opozitia la actiunile descreieratilor este necesara , ci observarea si constientizarea lor . Se numeste "" dezvrajire "" si , da , p",Frica
61,1316,440,imi aduc aminte ​cand cei de 20 de ani cu care ma jucam si eram timid cand ma certau si dupa eram demoralizat,Frica
62,1648,772,Etapă „ groaznică ” a pandemiei ...,Frica
63,2698,237,Și un pic de lapte în cafea ....,Neutru
64,3288,22,Majoritar e ăla nasol din Italia .,Tristete
65,3120,659,"Amintiri din valiza LAMONZA . Episodul 161 . Tortura , la muzeul din Praga -  ",Neutru
66,196,196,"Astăzi , în prima zi din ultimele două săptămîni de izolare ( sperăm ) am făcut 12,5 km , zece în casă , restul după pîine , apă și ( nu aveau ) , plus 200 de flotări și două poze în Portul Vechi ... Viața e simpatică",Bucurie
67,3946,680,"Sunt ferm convins că , ‘ Greii ’ Lumii s- au trezit acum la realitate , și regretă amarnic că n- au fost proactivi",Tristete
68,1145,269,România revine la starea de urgență de pe 1 iunie ? ! care dă fiori ...,Frica
69,31,31,"   , in materie de locuri mai inderpartate , foarte mult mi- a placut la Rio , unde am ajuns la destul de scurt timp dupa ce fusesem la Carcavelos , in Portugalia - vreo 40 de camera pe noapte cu mic dejun delicios de care aproape ca",Bucurie
70,975,99,"Autoritățile din Timiș propun ca Făgetul să intre în carantină , după ce numărul infectate cu Covid-19 a crescut alarmant -----&gt ;",Frica
71,7,7,"Medciul - - s- a vaccinat anti-Covid . ” Înafară de o neobișnuită stare de euforie , nu am manifestat nici un alt efect advers ” -   - Corina Ichim - s- a vaccinat anti-Covid . ” Înafară de o neobișnuită stare de euforie , nu am manifestat nici un alt ...",Bucurie
72,48,48,"incertă : "" în cîteva săptămîni "" criza coronavirusului se termină . Sigur , cîteva pot fi și 3 dar și 20 . Însă , Ioha a fost primul care a vorbit despre finalul crizei și cu asta s- a simțit un binevenit aer de optimism .",Bucurie
73,1523,647,"Doctoriță gravidă în 8 luni : „ Mi- e teamă pentru bebelușul meu , dar merg la spital să ajut ! ”",Frica
74,651,651,"Acceptați să trăiți în prezent , cu aspirațiile voastre pentru azi , este cel mai bun , cel mai înalt lucru pe care îl puteți face",Bucurie
75,1653,777,"Imagini ca în filmele de groază , invazie de lăcuste filmată în Africa , s- a declarat stare de urgenţă ( video )",Frica
76,2241,587,"Joe Biden : ” Suntem în război cu virusul , nu între noi . Ne- a divizat , ne- a înfuriat , ne- a învrăjbit unul împotriva celuilalt ”   news stiri romania",Furie
77,1098,222,": Danemarca , îngrijorată de creşterea numărului de cazuri legate noua tulpină a SARS-CoV-2  ",Frica
78,2970,509,"Universitatea Craiova - CFR Cluj , "" finala campionatului "" , se va disputa în această seară , de la ora 20:30 , ÎN DIRECT la Digi Sport 1 .",Neutru
79,2239,585,n- a pătimit țara asta destul ?,Furie
80,369,369,Cu plăcere ! 💫 💫 💫,Bucurie
81,3030,569,Ziua Indragostitilor – Tarta cu capsuni si frisca,Neutru
82,1004,128,"  Este prea exagerat , nu este ceea ce se spune , intimidează lumea , sursă de îmbogățire pentru cei obligați să amplifice cazul pe minciună , intimidare ! grupa sanguină a celor afectați , este asemănătoare cu mușcăt",Frica
83,3915,649,Am devenit azi asa de melancolică ... wow trebuie sa imi revin 🤗,Tristete
84,216,216,"  Zi frumoasă îți doresc , ☕ ️ 🍂 🍁",Bucurie
85,1195,319,"Este deja o săptămână de când Centrul de Resurse Juridice trage semnale de alarmă cu privire la situația spitalelor de psihiatrie , a azilelor și centrelor pentru persoane cu dizabilități și asupra necesității unor măsuri speciale pentru aceste centre .",Frica
86,722,722,"De azi ma simt mai bine , , sunt bucuroasa din acest fapt in sine , , sanatatea e cea mai importanta pentru fiecare dintre noi , , , , si starea de spirit a fost foarte buna astazi , , , am avut si cursuri online , , e bine * * * *",Bucurie
87,609,609,Seară frumoasă !,Bucurie
88,2495,34,: Shaorma de casa,Neutru
89,267,267,Încerc să vă ridic moralul cu ajutorul muzicii și atmosferei electrizante de la evenimentele echipei . Audiție plăcută !   play liveset goodvibrationsteam,Bucurie
90,1660,6,"  Ntz , ntz . Daca nu cheltuiesti la "" noi "" si vrei "" value4money "" nu esti patriot . Ntz , ntz . !",Furie
91,28,28,Curiozitatea feminină i- a fost satisfăcută ! 🤣 🤣,Bucurie
92,1078,202,"  "" In privat , unii europeni au sustinut o abodare mai dura , iar unii l- au criticat pe seful OMS Tedros Adhanom Ghebreyesus si ceea ce ei considera ca este un management politic al pandemiei "" De ce in privat ? Frica si lasitate . Nu cumva sa deranjati OMS",Frica
93,1492,616,"Scene de groază într- o Tarom . , una dintre -  ",Frica
94,2604,143,"   La locatie , cum reactionati ?",Neutru
95,2038,384,Scandal în Polonia ! Mai multe au fost vaccinate înaintea ...,Furie
96,3007,546,Sa ai 3 și sa nu pe care o vrei .,Neutru
97,2433,779,"  apreciez , acum vreau sa vina sa -mi omoare lupul ala ca m- a enervat",Furie
98,2991,530,oldies : NASA : revenim pe Lună cu echipaj uman în 2021,Neutru
99,2951,490,Elon inseamna miel sau Elan in romaneste .,Neutru
100,128,128,"Băutură şi mâncare la preţ redus , veselie la cote maxime . Astăzi este happyhourday , sărbătoare născută pe mare şi adusă pe uscat de nevoia de distracţie    ",Bucurie
101,1273,397,grr sunt o lasitate de om dar pOT FACE ASTA,Frica
102,2727,266,Nu scuipa ce ai mâncat !,Neutru
103,2054,400,"  Chiar sunt curios sa -i vad pe "" micii fermieri "" , de fapt , micii de culoare ai pietelor din Romania .. Sictir bai !",Furie
104,2858,397,": "" E nevoie de un pact pentru izolarea AUR in Parlament """,Neutru
105,1902,248,"„ La Cotroceni s- a turbat , s- a aruncat iarăși Partonul și s- a decis ca lui să i se zică , cu evacuare , Șică . ” ...",Furie
106,2178,524,La Berlin au izbucnit proteste   anti-Merkel !,Furie
107,1192,316,": Agentia europeana specializata manifesta o '' mare ingrijorare '' fata de evolutia epidemiei in 7 state UE , inclusiv Romania",Frica
108,448,448,"New post : Jocuri educative si distractive pentru , desfasurate in casa",Bucurie
109,389,389,"Munca , pasiune , atitudine , determinare , iubire și dragoste pentru ⚽",Bucurie
110,2661,200,"Parlament-comisii : Candidaţi pentru posturi de ambasadori , printre care şi , aviz favorabil",Neutru
111,1011,135,"   Ăsta e genul de mesaj care se vrea a fi încurajator , dar de fapt mai rău te bagă în mormânt . Groaznic sună .",Frica
112,325,325,"Ne- a facut o deosebita placere sa lucram la acest proiect , oferindu -i gazuire web , asa ca vrem sa le multumim celor de la Adapex pentru ca au avut incredere in viziunea noastra .   👉",Bucurie
113,1410,534,"În urmă cu 17 ani a câștigat , acum e medic în Germania și îi este teamă de COVIS-19 ! Dezvăluiri din infern ...",Frica
114,3803,537,Am apăsat fix aiurea la sondaj și nu există opțiunea sa modific ☹ ️,Tristete
115,1806,152,"Caragiale , revizor de Neamţ , despre un învăţător căzut în patima beţiei : „ Se bate în mijlocul satului cu nevasta ameţită ca şi dânsul şi nu mai dă pe la şcoală “",Furie
116,1013,137,cu ei nu am avut cine stie ce tangente cunosc doar cativa de pe twt si aia par destul de rasariti imi e frica totusi sa incerc sa cunosc mai multi pentru ca s- ar putea sa imi stric parerea :((,Frica
117,3944,678,"  Bun articol . Si trist de adevarat :( . Nasol e ca unii politisti chiar isi fac treaba si cand hahalerele ajung la judecata , ii scapa cu 2 lei amenda si o mustrare . De- acolo incepe , nu de la amaratii de tablagii :(",Tristete
118,1063,187,"„ E ca într- un film de groază ” : Mărturia unei orădence care locuieşte în Liban , după exploziile ...",Frica
119,3911,645,"  Mare afacere să -l auzi , nu -i ! Mai nasol e să simți cum se zbârlește ... Cumu -i cu plășinta-ntinsă cu ludaie du pă casă ? Cercat -ai ? Fă de mai multe ori ș- ai să -l vezi pe Leo cum crește ca .",Tristete
120,1143,267,"Ambasada SUA la Budapesta , "" profund ingrijorata "" dupa distrugerea a doua steaguri curcubeu montate pe cladiri publice",Frica
121,2060,406,de aceasta data nu 😳 si singurul motiv pentru care nu generalizez este pentru ca uneori pot avea toane dar sincer modul in care percep lucrurile nu tine de cei din jur ci de mine deci chiar de m- ai enerva vreodata it's a me problem 🤩 ✌ �,Furie
122,305,305,"Fericirea este o stare a sufletului ... în care toate lucrurile sunt sub conducerea exuberantă a credinței , a speranței și a carității . ( )",Bucurie
123,309,309,"Pentru mine , dragostea fizică a fost întotdeauna legată de un sentiment irezistibil de inocență și bucurie . Astfel , nu pot iubi în lacrimi , ci în exaltare .",Bucurie
124,1451,575,"De atunci sunt torturata , chinuita zilnic ! Aceasta mizerabila este in cunostinta de cauza cu tot ce mi se intampla ! Ca si familia si Burada O oroare ! crima asasinat .....",Frica
125,1862,208,sa -l fut in gura pe vlad alexandrescu,Furie
126,973,97,"Mărturia terifiantă a unui prins în incendiul de la Matei Balș : "" A fost un coşmar . Lumea ţipa ajutor , ajutor şi nu puteai să le dai ajutor ! ""   stiri romania Observator",Frica
127,2948,487,"  Ai avut vrun batalion la masa ? , cine a mancat noaptea atâta mancare ? 😬",Neutru
128,966,90,Cifrele care le dau românilor ! Noi recorduri în bilanțul COVID !   & gt;&gt;&gt;&gt ;,Frica
129,263,263,"Ionuţ Vînă , în extaz după golul cu : "" Îl aşteptam de când am venit la FCSB ! "" De ce îi provoacă",Bucurie
130,1761,107,"mor de rau , am nervi , trebuie sa merg si la votul curului , vreau sa ma uit si la , am si tema finala de facut la scenaristica si sa termin teoria la licenta . efectiv nu mai suportttt ! ! ! !",Furie
131,3146,685,Am uitat cum arata profu de muzica ( doar dinaia mai facem lol ),Neutru
132,2995,534,"  D- le Elon nu ai dat nici un semn că te- ar interesa ideea mea pentru mașini(softul-dispozitivul ) pentru protejarea pasagerilor(ar salva poate mii de vieți ) . Cred că la începutul anului nou o să fac licitație ( sau cam așa ceva , încă nu �",Neutru
133,175,175,"   Ar fi frumos sa revină din nou , ar avea o audiență mai mare , publicul ar fi cel mai încântat de povestea lor de dragoste ☺ ️",Bucurie
134,3884,618,"  Au terminat de asfaltat , dar statiunea este dezolant de goala .",Tristete
135,3326,60,Eu personal simt o durere în suflet ! Ce chin ce vremuri și cum am fost crescuți de greu !,Tristete
136,1908,254,Sictir ! Nu poate fi toata lumea sobra ca tine !,Furie
137,1689,35,"oamenii ăștia chiar au impresia că dacă răspunzi cu hate la hate , automat câștigi ... câștigi o pulă , arăți doar că ești un frustrat care așteaptă prima ocazie să își arate /frustrările/",Furie
138,1105,229,E un coșmar !    Câțu ne vinde la bucată pentru organe .   Suntem ospiciu în aer liber !,Frica
139,3276,10,Am uitat sa te anunt . Iepurele trebuie operat si sunt 15% sanse sa se trezeasca din anestezie . Si sunt in depresie,Tristete
140,1934,280,"De nestăpânit , o   a bătut nouă . Printre   ,   trei poliţişti locali şi un poliţist naţional",Furie
141,1258,382,"     Cam timida exprimarea adeziunii totale la politica partidului , tovarase !",Frica
142,1763,109,"tocami a zis o proasta ca i- a promis nu stiu cui baiat ca o sa fie impreuna cu la vara si cica "" ma fac lesbi "" hai sa vedem ce te faci cand iti fut o palma nu merge asa copila",Furie
143,823,823,Da . :) Important e să fii tu satisfăcută și cu înghețata mâncată,Bucurie
144,3721,455,"        asta e unul dintre putinele motive pentru care regret ca nu stau in Bucuresti , ratez intalniri de genul :(",Tristete
145,1285,409,"  Mi se întâmplă zilnic , e oribil",Frica
146,1325,449,"  August-septembrie cand o sa fie 1mil . de cazuri , morti prin santuri , poate dupa alegeri sa sperie boborul!fmm",Frica
147,1543,667,", semnal de alarmă : România n- a mai trecut printr- o secetă ca acum de 50-60 de   ani",Frica
148,2648,187,a promis un premiu de 100 de milioane de dolari pe   Twitter,Neutru
149,3101,640,Restaurantul de la Parlament urmează să fie externalizat . Cât mai costă un complet pentru țării ...,Neutru
150,2620,159,"Vaccinarea | Legea care stabilea sancțiuni pentru , îngropată în Parlament",Neutru
151,11,11,😀 Merită și ea puțină desfătare ! Măcar la sărbători ! Și e mai bine când împarți ! 😀 🤗 🥰,Bucurie
152,869,869,Ceea ce Dumnezeu binecuvântează rămâne binecuvântat .,Bucurie
153,2603,142,"Chiar dacă pare ca un val delicat și ușor desenat pe cer , această poză realizată de Telescopul spațial Hubble al NASA/ESA , prezintă de fapt o mică secțiune a undei de explozie a supernovei Cygnus , situată la aproximativ 2400 de ani lumină .",Neutru
154,3614,348,"      Da , foarte nasol dacă este adevărat . Decât asa , mai bine lipsă ...",Tristete
155,1393,517,"  În mare , Rafilă a cântat de la început partitura OMS ( deh , doar este reprezentant OMS în România , ia bănuți și de acolo ) , imprimând pe alocuri o ușoară patină personală ... cam atât . Însă mult mai ponderat decât alții , ceva mai",Frica
156,661,661,[ 👝 ] Daca ai ajuns pana aici asta inseamna ca esti o persoana minunata si ma susti 💞 !Te iubesc mult!!! 💕 Sa ai o zi minunata! ☀ ️,Bucurie
157,310,310,Încă din ianuarie simțeam cum se încinge atmosfera 🔥 🔥 🔥 A fost un an foarte bune pentru HR și recrutare 🧐   Ne- a placut mult ! 😍 20deaniAdecco adeccoromania,Bucurie
158,311,311,Ce delectare ! ❤ muzica bună !,Bucurie
159,695,695,Fericire mică ! 💖,Bucurie
160,183,183,"Romani 12:10   "" Iubiţi -vă unii pe alţii cu o dragoste frăţească . În cinste , fiecare să dea întâietate altuia . "" [ .. ]",Bucurie
161,888,12,"    Graficul ăsta e înspăimântător . Dacă unii fac 10 , 12 , 15 mii de teste zilnic , noi .... E genocid , fraților RIPRomania",Frica
162,912,36,Cel puțin 19 au fost ucise într- un atac terorist produs în nordul Siriei,Frica
163,2845,384,"Trebuie sa ai grija de tenul tau prin produsele de curatare pe care le folosesti . Pentru a nu -ti agresa tenul si pentru a- i respecta echilibrul natural , trebuie sa folosesti un demachiant cu pH neutru , special creat pentru a- ti curata epiderma cu delicatete .",Neutru
164,1726,72,în Peru : al unui spital a fost agresat de către o decedată care era infectată cu coronavirus . Apocalipsa e aici,Furie
165,3611,345,Oare suntem pregătiți românii să luptăm uniți pentru o cauză mare ? Mai vrem noi să dăinuim ca popor ? Sau stăm și ne plângem de milă în spatele ecranelor în timp ce așteptăm marea salvare de cine știe unde ? proiectdetara WWG1WGA undeeunulsuntemtoți,Tristete
166,352,352,"Mulțumim autorilor acestei creații unice prin care am fost părtași la un moment de gratie în genul atât de special al filmului serial ... Am trăit clipe de extaz , de bucurie , de emotie , de vibrație interioara transformata uneori în lacrimi intr o perioada tragica pentru omenire ! ❤ ️",Bucurie
167,1480,604,"  Faza e că crește . Una e sa ai 350 internări pe zi și alta e 1000 ... cresc numărul de paturi ocupate și cât mai durează până nu o să mai fie locuri libere ? Nu era groaznic în martie , aprilie când ne- au ținut în case dar la cum",Frica
168,4016,750,"Dacă mai aud pe cineva că se plânge dimineața că tre ' să meargă la lucru , o să fac ceva nasol . Nuj ce , dar mă gândesc eu ce . Dud , dacă te plângi de job -ul tău , caută -ți altu ' mămică . E atât de simplu .",Tristete
169,2905,444,"În București , cel puţin pentru moment , nu se pune problema intrării în carantină , spune . spune la Europa FM că în afară de incidenţa cumulată , mai sunt analizaţi şi alţi .  ",Neutru
170,1597,721,Crimă oribilă comisă de un fotbalist legendar al lui Dinamo ! „ I -a băgat o coadă de mătură pe   gât ”,Frica
171,3719,453,Un necaz nu vine niciodată singur ... Exact de o asemenea dramă mai avea nevoie România ... Cuvintele sunt foarte greu de găsit ... Un incendiu a izbucnit la secția de Terapie Intensivă a Spitalului Județean de Urgență din Piatra Neamț . Sunt solidar cu familiile îndurerate ...,Tristete
172,3948,682,"Niciun drum nu duce la pacea inimii decât , Care te cheamă îndurerat și îți spune : Eu sunt Calea  ",Tristete
173,127,127,"Antrenează -te să spui "" îmi pare rău că nu pot "" , "" lasă -l să plece te rog "" , "" nu acum "" , sau "" data viitoare "" . Ăsta nu e un cuvânt ciudat . Este o abilitate de maturitate pe comunicare . Nu toate cuvintele "" da "" , "" de acord "" , "" poate "" transporta un sens pozitiv în conversație .",Bucurie
174,1015,139,"Iohannis : „ e o incredibil de dificilă perioadă . Urmează săptămâni critice , care vor pune la grea încercare întreaga rezistență a statului ” . În urmă cu două săptămâni ne spunea că nu e panică .",Frica
175,916,40,mereu imi bate luna în geam și cred ca am căpătat o fobie la modul cel mai serios 😬 😬,Frica
176,3553,287,""" Sunt inca mahnit de lipsa de viziune politica in separarea recenta a invatamantului superior de activitatea de cercetare stiintifica """,Tristete
177,364,364,"  Hei , o duminică frumoasă , veselă și drăgăstoasă !",Bucurie
178,604,604,""" Nu înceta să fii bun ! Prin bunătate , îţi strângi provizii pentru viitor . """,Bucurie
179,865,865,Amuzament ... e primul care mi- a venit în cap !,Bucurie
180,1216,340,"Brașovul la zi : Cercetări in rem la Brașov , după ce ASUM a tras semnal de alarmă cu privire la presupusele abuzuri din centrele de plasament",Frica
181,922,46,Semnalul de alarmă al experților : Coronavirusul va copleși SUA dacă nu se iau măsuri stricte imediat   news stiri romania,Frica
182,3142,681,"Vrei să locuiești aproape de Malul Mureșului și de parcul Europa ? Îți prezint spre închiriere un apartament de 2 camere , situat la etajul 3 , pe strada Călimănești . - Apartamentul beneficiază de liniște și intimitate . Are suprafața de 70 mp , ...",Neutru
183,260,260,român în UK după ce a făcut vaccinul anti-COVID : „ O neobișnuită stare de euforie ”,Bucurie
184,3953,687,"Anxietatea este o emoție ce se caracterizează printr- o stare neplăcută de tulburare interioară , adesea acompaniată de comportament nervos precum a păși înapoi sau înainte , tulburări somatice și ruminația.[3 ] Este vorba de emoții subiective neplăcute de spaimă față de evenimente .",Tristete
185,594,594,"Cel mai simpatic amic care s- a retras frumos , mi- a spus metaforic : Nu te supara pe mine , eu am pribleme ... Ok , eu imi vad de exercitiul meu ... berea rece ...",Bucurie
186,1723,69,"   Tu , să taci din gură . Are dreptate Trump . Tu , esti unul care face parte din unele organizații . Tu , îndemnai aici pe Twitter la ură și revoltă . TACI , urâtul pământului ... 😠 😠",Furie
187,1530,654,Alarmant ! România trece de 3000 de cazuri COVID . La Brașov s- au înregistrat   80,Frica
188,50,50,"  "" Pofta sau Foame "" e un restaurant ieftin si bun in Bv . 🍻",Bucurie
189,3040,579,"  M- am gândit să formulez raspunsul simplu . Ce să mă mai complic cu un răspuns neutru când majoritatea sunt într- o tabără sau alta .   Și eu sunt cam neutru în privinta lui , iar dacă ar fi să mă i- au de el nu ași începe c",Neutru
190,582,582,"  Dar uite , eu cred ca numai atunci când te delectezi desenând , iese ceva ca lumea .   Si daca e delectant nu inseamnă ca nu e muncă . Tot muncă e , dar una care -ți place :)",Bucurie
191,3875,609,"  și ai mei se luau de mine la început cu kpop -ul , între timp s- au obișnuit îmi pare rău să aud că ta te- a descurajat :((( ar trebui să continui ce te face pe TINE fericită plus , tăi ar trebui să te încurajeze și să te",Tristete
192,3618,352,Un de 31 de ani a dispărut de acasă ! Familia este disperată . „ Ajutați -ne să îl găsim ! Suferea de depresie ” ...,Tristete
